file_name,Q_port1,Q_port2,coupling_coefficient,bandwidth_13_Hz,bandwidth_23_Hz,group_delay_13_s,group_delay_23_s,min_insertion_loss_13_dB,min_insertion_loss_23_dB
device_0062__Sparams.csv,471.23448340658456,257.8810294569571,-0.1692942888879354,30000000000.0,90000000000.0,5.466787036388716e-12,3.1390633265680203e-12,-9.984746503226141,-5.059261539523683
device_0063__Sparams.csv,554.3902346093785,347.2223159180271,0.014423353653698612,100000000000.0,80000000000.0,6.42460613524271e-12,3.41664361730195e-12,-10.764197410179523,-11.188454898971461
device_0064__Sparams.csv,426.6118170854018,361.2935804335615,-0.6,90000000000.0,100000000000.0,3.4090302619500233e-12,2.494045371499467e-12,-6.703087724033518,-3.5218251767706805
device_0065__Sparams.csv,404.5182136175141,407.04276921841665,-0.6,100000000000.0,100000000000.0,3.489680949757879e-12,2.301551866887148e-12,-4.958689256735346,-3.5218251767706805
device_0066__Sparams.csv,369.5600813908632,311.191021922138,-0.4346685551785899,70000000000.0,100000000000.0,4.074319332198626e-12,3.073963005478777e-12,-8.200216432500465,-3.5218251767706805
device_0067__Sparams.csv,444.67914531067424,370.1333767158151,-0.6,80000000000.0,100000000000.0,3.423587788502305e-12,2.562736566944359e-12,-7.0844242045681005,-3.5218251767706805
device_0068__Sparams.csv,415.2184978851776,288.6295037297327,-0.30972091575451544,30000000000.0,100000000000.0,4.29786528996222e-12,2.4596788651201875e-12,-12.61442111381802,-3.5218251767706805
device_0069__Sparams.csv,470.54015203505884,403.421581024936,-0.8,100000000000.0,100000000000.0,3.096012151961598e-12,2.195528584718949e-12,-6.228689897119891,-3.5218251767706805
device_0070__Sparams.csv,468.8865830721336,294.860454500887,-0.2879284721692713,50000000000.0,100000000000.0,4.312627063093419e-12,3.483579544939127e-12,-10.052768322428381,-3.7584464776453856
device_0071__Sparams.csv,364.7895874399603,298.4709788132379,-0.21747548768140898,90000000000.0,100000000000.0,4.320794953617425e-12,3.172874915373405e-12,-6.718104984310683,-3.5218251767706805
device_0072__Sparams.csv,490.0554292358187,260.90719633332947,-0.1950960647448765,20000000000.0,100000000000.0,4.693931701896617e-12,3.0317910269145828e-12,-12.431224637302707,-3.5218251767706805
device_0073__Sparams.csv,484.99002590114776,422.7199964662128,-0.8,100000000000.0,100000000000.0,3.252414701085777e-12,2.372243396549744e-12,-6.269427051860731,-3.5218251767706805
device_0074__Sparams.csv,386.1848836482518,371.58927640329983,-0.6,100000000000.0,100000000000.0,3.7308198949619575e-12,2.6180232317571803e-12,-5.8229762845097195,-3.5218251767706805
device_0075__Sparams.csv,368.92996834065553,373.1074026271536,-0.6,100000000000.0,100000000000.0,3.833896563306082e-12,2.6256879743045595e-12,-5.542755024823213,-3.5218251767706805
device_0076__Sparams.csv,460.08411264315157,248.72959842236017,-0.13463273353924282,30000000000.0,90000000000.0,5.503615866198499e-12,3.106562829367799e-12,-9.621361951540568,-4.8441358482072205
device_0077__Sparams.csv,540.4058763868015,346.044996745441,0.016628127775044344,20000000000.0,80000000000.0,5.678312117755718e-12,3.407223215694738e-12,-10.573721019839246,-6.615956491847033
device_0078__Sparams.csv,433.9532070867306,254.21143121249247,-0.20923135884047922,60000000000.0,100000000000.0,4.55172999583004e-12,3.609354390808103e-12,-7.643136386380675,-4.060616541063268
